;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Ligne 1;-;-;-;-;-;-;-;167;176;172;171;174;175;177;178;179;178;181;181;184;94;112;153;166
Ligne 2;-;-;-;-;-;-;-;94;100;102;104;105;104;103;105;103;103;105;109;102;51;68;88;92
Ligne 3 (+3bis);-;-;-;-;-;-;-;94;98;98;102;103;104;102;103;101;101;101;99;93;44;61;81;86
Ligne 4;-;-;-;-;-;-;-;159;173;172;174;173;174;167;164;161;158;156;152;158;80;106;138;152
Ligne 5;-;-;-;-;-;-;-;92;99;101;103;104;107;104;108;108;109;111;114;109;55;78;98;100
Ligne 6;-;-;-;-;-;-;-;103;103;104;107;111;112;112;106;111;111;114;115;103;50;66;96;100
Ligne 7 (+7bis);-;-;-;-;-;-;-;121;127;129;134;136;137;136;133;135;134;135;136;128;64;87;115;122
Ligne 8;-;-;-;-;-;-;-;89;94;96;98;99;102;103;105;104;104;106;108;101;49;67;92;96
Ligne 9;-;-;-;-;-;-;-;120;128;127;131;132;135;135;135;134;135;138;143;136;68;94;124;131
Ligne 10;-;-;-;-;-;-;-;40;42;43;43;44;45;45;46;45;45;45;46;45;21;29;39;42
Ligne 11;-;-;-;-;-;-;-;46;48;48;49;49;50;49;48;48;47;47;48;39;23;31;40;40
Ligne 12;-;-;-;-;-;-;-;79;83;82;85;85;86;87;87;84;84;84;85;80;38;54;75;83
Ligne 13;-;-;-;-;-;-;-;115;123;124;127;129;131;129;130;129;130;131;136;127;65;83;104;110
Ligne 14*;-;-;-;-;-;-;-;67;77;80;79;80;79;78;78;79;80;83;87;92;51;79;98;92
Total MŽtro;1_248 ;1_262 ;1_283 ;1_248 ;1_336 ;1_373 ;1_410 ;1_387 ;1_472 ;1_479 ;1_505 ;1_524 ;1_541 ;1_527 ;1_526 ;1_520 ;1_519 ;1_539 ;1_560 ;1_498 ;753;1_015 ;1_339 ;1_411 